MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.4280397000,-122.0699122000,-29.239800535446363,0.00090102997,0.1,358.62277,1594247334436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0,0.1,358.62277,1594247335436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0006371243,0.1,358.62277,1594247336436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0012639054,0.1,358.623,1594247337436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0,0.1,358.6224,1594247338436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.00090102956,0.1,358.62234,1594247339436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.239800535446363,0.001,0.1,358.62213,1594247340436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0,0.1,358.62186,1594247341436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.239800535446363,0.001,0.1,358.6217,1594247342436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0014142136,0.1,358.62225,1594247343436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0012639053,0.1,358.62195,1594247344436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0017875284,0.1,358.62122,1594247345436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.001,0.1,358.6211,1594247346436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.00036287637,0.1,358.6213,1594247347436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0009010288,0.1,358.62128,1594247348436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.001,0.1,358.6215,1594247349436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0011503084,0.1,358.6212,1594247350436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.00036287674,0.1,358.62128,1594247351436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.003836736,0.1,358.62103,1594247352436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.002236068,0.1,358.6207,1594247353436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980227827434,0.0017124455,0.1,358.6209,1594247354436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.239800535446363,0.0019378361,0.1,358.62054,1594247355436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980227827434,0.0020147602,0.1,358.6203,1594247356436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.239800535446363,0.0021504043,0.1,358.62027,1594247357436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980227827434,0.0017124458,0.1,358.62006,1594247358436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.239800535446363,0.0014142136,0.1,358.6199,1594247359436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0016371228,0.1,358.6199,1594247360436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.002236068,0.1,358.61945,1594247361436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.239800535446363,0.001,0.1,358.61942,1594247362436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980227827434,0.001,0.1,358.6199,1594247363436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980140686035,0.0006371226,0.1,358.61926,1594247364436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.23980227827434,0.0,0.1,358.61945,1594247365436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.24079998610017,0.0,0.1,358.6193,1594247366436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.240800857543945,0.0,0.1,358.61896,1594247367436,,,,
Fix,GT,37.4280396000,-122.0699122000,-29.24180030822754,0.0,0.1,358.6187,1594247368436,,,,
Fix,GT,37.4280396000,-122.0699122000,-29.242800794756363,0.0024245533,0.1,358.61868,1594247369436,,,,
Fix,GT,37.4280396000,-122.0699122000,-29.24380024541017,0.0027227858,0.1,358.61667,1594247370436,,,,
Fix,GT,37.4280396000,-122.0699122000,-29.244800567626953,0.0043499237,0.1,358.6174,1594247371436,,,,
Fix,GT,37.4280397000,-122.0699122000,-29.252799115991593,0.009637121,0.1,358.49402,1594247372436,,,,
Fix,GT,37.4280397000,-122.0699121000,-29.25507488981293,0.035692576,0.1,358.34528,1594247373436,,,,
Fix,GT,37.4280410000,-122.0699128000,-29.255164347148877,0.4001376,0.1,356.8566,1594247374436,,,,
Fix,GT,37.4280484000,-122.0699167000,-29.25680160522461,1.2137425,0.1,349.83902,1594247375436,,,,
